Tweet_id,Name,Text,score
155,johngraceam,"Sana Nga. ""Kung mayroong puso, pinakananais maging akin....sana nga\'y ikaw, Ikaw sanaa...ang para sa aaaakkkin. Hehe."" Queen Regine #IdolPHRegineV'",4
156,promisecuteko,Wag nyo ko I judge summer namannnnn HAHAHAHHAHH,4
157,Clarissa0709,.. cLa unG sOlid n grUpO unG mGa nasa CSH ganda nG samahan niLa ei #CantGetOutStudioVersion,5
158,nelledelrosario,Malakas daw mag LOL si jc??? uLOL HAHAHHAHAHAH happy birthday kalbo,4
159,DepuKairoOliva,Ganito kami kapag Nag hahanda ng Karo. Tulong-tulong kaming TORRES Fam sa paggagayak ng Karo.,5
160,carljudee,Mukhang lalagnatin ata ako bukas a HAHAHAHAHA',5
161,Zzzx_xzZ,SO CLAMS na pala tawag sa atin hahaha! At least we clean up polluted water! HAHAHA Queen Regine #IdolPhRegineV',4
162,Yvettarium,"b""Dabexszt padin yung hapon na puro lng street game's""",4
163,juswa_21,Trippings si atiih ah. Hahahahaha,3
164,ItsRicc10,Cute talagaaa ni Kateeeeeee Hahahahahahaha,4
165,hwangstation,HI WOOJIN HAHAHAHA @Stray_Kids,3
166,iamjust_ignored,@love_jannan Buhahahahahahahahahahaha .....LMAO...,5
167,la_ellitist,Hahahaha lmao reasons,5
168,Cennamon_MKBS,Ke galetse magwinya ka menoto le atchaar,3
169,UGpk,Aaloo wala paraatha.',2
170,jaimeevillamil,pag ready ka na sumugal zzzz kahit alam mo na gg na HAHAHAHAH',5
171,danyenyex,@alexaa_agregado hays kaya kayo iniiwan e',5
172,MarkKruk1,"kapag talaga malungkot ka, merong isang taong kayang kaya i-cheer up yung mood mo,ewan ko pero salamat lang sa mga taong palaging nandyan at never nang-iwan'",4
173,Jasperordo,@vldmrmrbs @carlshet nakawin mo ang tumitibok tibok na titik o',3
174,divinabaluyot,@ohmgpls Ang sakit,4
175,AimieOdal,Tulak ko na ba? Ayoko huhuh #HNKPagsilang Edward as Iking',5
176,cjsatienza,"b""Bigat ng tiyan ko, 'di ako makadighay kanina, e.""",5
177,tinko27,And everytime po talaga na binabasa ko ang mga story sa series na ito parang nadadala narin ako ng mga characters sa mga lugar na kanilang pinupuntahan. Its like in a different world.',5
178,eduardangeles_,"hi kulot, i do rlly love your hair, see u sa pasukan, aral tayo mabuti'",4
179,imarnntnr,Ang fresh. ',5
180,eshvyne,sa sobrang supportive ni kit pinag pili niya ko kung anong powder ang ilalagay ko sa daliri ko everytime mag lalaro aq ng ML kasi pasmado aq hahahhahahah pota yabang,5
181,RafaielEscoses1,"""Partida paa lang gamit ko"" HAHAHAHAHAHAHA",4.5
182,andri000me_15,"M Andri Gunawan Syam (Mags Berita 05) Time : April 21, 2019 at 06:47PM",3
183,AaronVee43,sorry crushy:&lt; nahihiya talaga ako:(( Alla sige lang di naman ako pumapatay ng tao ahahaha,3.5
184,anglc___,Hanggang chat ka lang pala ehhh grabe : (( wala nga akong kachat ngayon e,4.3
185,angelxium,"there ar times when super emotional ako kasi I have one, some or all of these problems (personal/family/studiew/love) tapos iniisip ko na walang nagmamahal sakin when I know na meron naman. magulo pero yes these moments happen to me '",4.5
186,thismfs,#NAME?,2
187,Pooja39981409,@navikakumar namo suno sour suno,2.2
188,songbirdtweets1,Sana next time si Papa Ian GV GV lang yung story nila! Parang bagay sila ni Queen Regine #IdolPHRegineV',5
189,Sam_Soriaga,"@MarieJuana_felz HAHAHAHAHAHA! I know master, sorry po.'",5
190,JanImari07,Grabe hindi ako makapaniwala Nicky Mendoza :( Grabe Grabe talaga :( shocking mukhang okey ka pa at parang kaya mo pa sa video ahh Rip kaibigan :(,5
191,Lourygen1,@DKATeamILOILO @smdaclash @KierViOfficial @mwtrendsetter @KaDreamersWorld @DonKissATeamOFC @maymayentrata07 @Barber_Edward_ @bernardokath @hashtag_CK Hello po! Untag po dito kasi may nasali tapos wala c D at K po #DonKiss',3.2
192,athan_billy,kasama ko yong kaibigan ko i memeet nya gf nya dun sa estrecho then nakita namin sila tas gf nya kasama nya tropa nyang babae tas pinakilala nya sakin gf nya at tropa nyang babae then she said her name was L*** finallow nya ako sa ig and we start talking hangang now tapos tanong',5
193,regaladohana,@matthewapostol_ ikaw yung outlet ko sa lahat ng gusto ko ivent out!! :(( thank u solid matt!! kwento soon ',5
194,PAUlovesMOM,ANG CUTE!!! @MARoxas',3.3
195,_Glaizieee,:ganda niyo naman nasa lahi po namin.,5
196,beyskieeh,me pag may kalaban sa pubg hahahahaha',5
197,night_namjoon,PUTANGINAAAAAAA!!!!!!!,5
198,athan_billy,kami about informations namin yong in 3 hours parang sobrang kilala namin na isat isa i told her na hindi ako interesado sa babae or gf wala akung pakialam tapos sabi nya naiintindihan kita kaya take your time i will be right here waitinh for you tas sabi ko ayoko ng hangang',3.4
199,galendoo,Simulasi bukber,2.4
200,NovaeneGuerrero,Awww&lt;3 alabyu babe imissyoumore',5
201,theaodron,KIDNEY FOR SALE Pang Galaxy Fold lang *jk lang. ayaw ko e dm sumbong tamo sa akong papa ',5
202,secret_atsumi,Me: Baby look at your butt so big. Sumi: I just push ipush daw niya arun mugamay daw. hahahaa',5
203,mjpartocilla,Hoy itlog anuba?? HAHAHAHAHAHA cute cutie',5
204,anneflopez,baka lang naman magkaroon kayo ng interes sa buhay ko,4.3
205,wagpilitim,Ilan na naging gf mo? 2,2.2
206,strawmariee,HAHAHA syempreeee buhay pa tapang ko na la ng anon anon HAHAHAHAHA HAHAHAHAHAHAHAHAHAA TAPANG MO NA? PAKILALA KA NA?,4
207,JellyyyJynn,"2. KAMZ K - Kelly, A - Andrea M - Milery, Z - Zacharie - miss ko na sila huhu, solid ren netoh kasi dati puro kami kalokohan HAHAHA, ehem ano na balak naten this summer, mahal na mahal ko ren sila yieeeeee '",4
208,Jray_Dom,HAHAHAHAHA',3
209,StaarLeng,@ainamae_ @dnzlclrk HAHAHAHAHAHA,4
210,imnotamuggleHP,"HOY ANO BA!!!! SABIHIN NAMAN NINYO KUNG MAY AASAHAN PA BA KAMI O WALA! WAG NINYO KAMING GAWIN ENGOT DITO. MAGSASABI KAYO NG DATE TAPOS DI NINYO TUTUPARIN, NAPAKA UNPROFESSIONAL NINYO|! TAPOS SA HULI KAMI PA ULIT SISISIHIN NINYO'",5
211,dearothershaye,lol hi ulit boyfriend.',4.3
212,4,Hey baby hello baby sabi ko sayo sa pm wag dito : ( HAHAHAHA joke hello,4
213,shamaendoza_,HAHAHAHA ',5
214,fateinblue,Haharot muna ako before deactivating.,5
215,ncity_njm,@ncity_wyh WAG NIYO I LIKE PUTA',5
216,natkamaciejka,ALINA XDDDD,3.3
217,xndrkth_,OooOooOoops. War freak talaga si Hannah Oo e bored ata,3
218,deadesuyo,TOts mo kay Dannah una ko palang to nakausap nabaitan na ko. grabe consistent ng pagiging mabait nyaaan! sobrang approachable &amp; totful wuhuuu. tapos kala ko seryoso HAHAHAHA dafuq tawa ng tawa di makaget over grabe ket pulang pu,5
219,hannajeoi,HOOY MGA PEOPLE PENGE NAMAN AKO COPY NG HER PRIVATE LIFE TSAKA NG ANO A-TEEN TAKTE SUPER OUTDATED KO NA XKAKSJQKSNNANS',5
220,haidecariaga,Mahal na mahal mo si marc ah Oo ah besh,5
221,gabriiiiiel__,oops napindot 3,5
222,XolieMahlangu,Andina data ',3
223,desssssaaaaaaaa,Taken ka na ba? oo eh..,3.3
224,LonelyLunaaaa,Ayuz si Doc na talaga ',3.2
225,EufronioIV,@WencyAdlao Pwede ikaw akong i tryout?',5
226,zaptoned,tanong kayo mamser,3
227,bbdianamay,gusto palaplap eh hahaha',4
228,mscmndz,@shengginamo HAHAHAHAHAHAHAHHAHAHAHA pakyu ka shane. I miss you too kups!!! Wala na akong nahhug :&lt;',5
229,DutchessAonani,"Kikikikikikikiki, I change my mind'",3
230,MayWardDVO,Sino Kaya to ? #HNKPagsilang,4.5
231,ApuadaJan,tanungin niyo naman aq,3
232,heyyyjorgeous,Busy ako balakajaaaaan,3
233,loveng15,Bartek yung isa di na kinaya,4
234,MyPreciousJIN92,@abie_0716 Ok lang basta galing sakanya baka di ko kainin i preserve ko muna ng mga ilang taon hahahahaha',4
235,Shaeira17,E sa nakuha ko na yung tamang paglagay ng lipstick ni ate @mikslmnc,3
236,rgnbanguilan,"Naging crush ko to eh to the point na sobrang close namin dati ewan na ngayon,hanggang sa di na kami nagkakausap '",5
237,Joaquinooooo,Lalo ako nainlove nung tinititigan kita kanina,5
238,Henry29122929,Uhm dami kasi nila..... baka abutin ng bukas pagtinag ko lahat hahA',3.4
239,JayArXChopitea,"Bat kase di mo i-chat si ajan para maging friends kayo, mabait nmn yon *no comment*",4
240,melvinembin,Boy malalapitan,5
241,Jimitylaad,Ok moneybags',5
242,Billright50,"b""@realDonaldTrump Build the wall VOTER ID'S TERM LIMITS Liberalism is a mental disorder hahahahahahahahahahahahahahahahahaha""",3.5
243,LanceGabrielss,@dulay_vin2 HAHAHAHAH nag a.p ka namna diyan',3
244,Khate_88,Miss n miss ko na kayo #EGGStraordinaryKARJON',4
245,indomymenfess,"[Idm] wts pc ly tear ver y taehyung 130k, yoongi 120k Minat rep yaa'",5
246,JOSamonte,@cjreynoooo Nangangati kamay ko mamiii. May gusto akong i-mention HAHAHAHAHA',4
247,kuhswiftie11,Hahahahah i m torn if tutuloy ko pa bukas magpagupit ',3
248,snowyykim,gago ka jun',5
249,alwaysberyl,@olibyandrea ahhh k sige laban',1.4
250,aesthiccbts,@peacheejimin AKAKKAKAKAKAKA I CANT BELIEVE IT,4.2
251,tyhrblue,"Nicoll-Klokstad, Manu, Marsters, Takairangi, Niukore, Glenn, Napa, Rapana....make it happen'",5
252,_gbrllnn,"Si Scarlet Snow kung saan saan na nakarating, ako na 14 y/o na, gang Baguio lang inaabot'",5
253,myggzibee,""" I wanna make you smile whenever you\'re sad "" Bakit pag sad lang? Mas gusto ko kahit anong oras papangitiin kita '",4
254,xskx_,parang si migy kung mag salita eh hahaha qt',3
255,janmarieny,PAHIRAM YAYA MUNAAAA WALA MAMA KO E DI KO KAYA GAWAING BAHAY :( PAGOD NA KOOOO',4.5
256,Iwantcheetos_,Nililihis nyo lang eh tangina pupunahin lahat malay ba sabihing ayaw nyo sa Blackpink kasi nasasapawan yang bg stan nyo.',3
257,jstnbscn,I hate this place pwede sa Palompon nlng ko forever',5
258,dianesamour,Wag mo ako mahalin kung di mo pa kaya i unlove yung past mo fck u di lng ikaw yung lalake sa mundo ',5
259,MayWardOfficial,"I will give you another chance to prove yourself. Kapag nagawa mo yan, ibabalik ko sayo ang anak ko. #HNKPagsilang Edward as Iking @Barber_Edward_ @maymayentrata07'",5
260,kreshiaaaa,Harsh ba ako as a friend? :&lt; HAHAHAHAHAHAHAHA',4.3
261,BrujaDelDemonio,"b""@elyasjuan @SpammyHammy4 @skullohmania @alt_BBM @tweetmetomcat We are doing god's work here on earth. Easter ngayon kaya malakas ang bertud namin.""",4
262,i_Am_SirEy,Ganon ba yon? ',3
263,supyeollie,"b""Here's the link of the AshMich/MichLey vid I made! Compiled moments nato nina Ashley at Mich tgt Watch til the end. Credits sa lahat ng owners sa vid. Nakakatuwa yung mga nakaw-tingin ni Mich kay Ashley. #Pbb #PBBOtso",4.3
264,iam_olympia,@LurkerAnonymous dito yata oh! #HNKPagsilang Edward as Iking',1
265,kylefrancinee,Nakakapagoood hahahahha but it s so gooooood ',4
266,sophiatos,i just spilled the oil for my painting ugh katanga self oy bobo kala mo mura bwiset',5
267,glydelightful,May untag d mutukar akong utok ugma lord pls',3.4
268,SHAdaMaureen,lt HAHAHAHAAHAHA',4
269,tundawa_bot,TSU N DA WA ',3
270,aishahsoffi,@NCT_Safety Taeyong is beautiful Taeyong is an amazing leader Taeyong is a great dancer Taeyong is kind Taeyong is humble Taeyong is respectful Taeyong is funny Taeyong s laugh ',4
271,sinecosime,"Parang kelan lang, ang pinagaawayan natin is kung sino magkatabi sa sasakyan nung papunta tayong Baguio 12 years ago. Ngayon, pinagtatalunan natin kung ano una oorderin, hard drinks or beer. Huhuh what a development missed u guys! @ianvillaverde @ftheespresso",3.5
272,mariahensey,dami na nagtatanong kung kelan na ako magstastart ng covers sa yt. di ko pa talaga alam coz starting a channel on yt is diff lalo na di pa ako ready sa mga judgements lalot di naman ako ganon kagaling kumanta pero promise this year ',4
273,imglyzelbonocan,@vncntbltzr mag cheka rata soon bins!!!! hahahapuhon kanang d nata busy sa acads hahahah',3
274,knmbuxani_,"hbd hannah pearl thank for errthing, apil na pag basag sa phone ko &amp; pakong sa locker &amp; unli hulogs ikaw ang supermodel ng buhay kue #beautyandbrains i love you!!!",4.5
275,boredddss,@Clarsxz_ Baw!! L*nt*k*n nga babae ja ay!!!',3
276,nasaagtweets,Nus-a man ko kitag murag @Avengers ani? Kana bitawng. Pang Endgame na. Ahw. ',4
277,Namhla_BB,Wehhhh ngamane ngife ',3
278,yoshaaamee,"Happy birthday, @chelelelalu Salamat kasi isa ka sa maaasahan ko lalong-lalo na kapag kailangan ko ng grab o angkas huhu Sorry kung ang kulit namin ni nath HAHAHA I love youuuuu, referee",5
