:			-	-	-	-	
Black	Dot	42	75	0.35	0.07107671	0.14954819	
Black	Dot	43	78	0.45	0.27835363	0.18309279	
Black	Dot	44	79	0.55	0.058410533	0.13983187	
Black	Dot	45	80	0.6	0.06609895	0.18062745	
Black	Dot	46	82	0.55	0.09092448	0.06977789	
Black	Dot	47	83	0.45	0.106098756	0.064781725	
Black	Dot	48	85	0.7	0.39536795	0.48638672	
Black	Dot	49	87	0.5	0.12111199	0.09751973	
Black	Dot	50	88	0.55	0.07322969	0.02850192	
Black	Dot	51	89	0.4	0.20082603	0.1396312	
Black	Dot	52	90	0.4	0.13116857	0.39475328	
Black	Dot	53	93	0.4	0.09186439	0.08455297	
Black	Dot	54	94	0.5	0.029495193	0.044713818	
Black	Dot	55	95	0.5	0.35060325	0.5846169	
Black	Dot	56	98	0.3	0.036371585	0.16667487	
Black	Dot	57	100	0.8	0.76644164	0.66553557	
Black	Dot	58	101	0.35	0.05177671	0.17632091	
Black	Dot	59	102	0.55	0.097122036	0.18868014	
Black	Dot	60	111	0.35	0.21662115	0.2215881	
Black	Dot	61	113	0.25	0.02570762	0.26944506	
Black	Dot	62	115	0.3	0.073921256	0.067557566	
Black	Dot	63	116	0.35	0.026036523	0.08567274	
Black	Dot	64	120	0.45	0.072078176	0.30472484	
Black	Dot	65	122	0.45	0.08456061	0.46040028	
Black	Dot	66	123	0.4	0.03898905	0.03898905	
Black	Dot	67	124	0.45	0.017128332	0.022053745	
Black	Dot	68	128	0.3	0.06552133	0.054892264	
Black	Dot	69	132	0.25	0.44268137	0.055118836	
Black	Dot	70	135	0.4	0.120506935	0.13932565	
Black	Dot	71	136	0.45	0.10276569	0.21090025	
Black	Dot	72	137	0.3	0.026036523	0.08567274	
Black	Dot	73	139	0.3	0.11225677	0.088718496	
Black	Dot	74	141	0.7	0.6519473	0.42478773	
Black	Dot	75	143	0.65	0.3585354	0.53125775	
Black	Dot	76	145	0.3	0.02532672	0.11996975	
Black	Dot	77	147	0.65	0.64797026	0.069400325	
Black	Dot	78	149	0.35	0.82268196	0.22558837	
Black	Dot	79	151	0.3	0.15711358	0.09404389	
Black	Dot	80	152	0.55	0.17348367	0.31489706	
Black	Dot	81	153	0.35	0.026036523	0.08567274	
Black	Dot	82	155	0.35	0.37907884	0.28361815	
Black	Dot	83	156	0.55	0.05075421	0.060882654	
Black	Dot	84	159	0.35	0.0947979	0.09008158	
Black	Dot	85	160	0.45	0.1899144	0.15543257	
Black	Dot	86	161	0.4	0.3576696	0.32188633	
Black	Dot	87	162	0.35	0.019463167	0.11997969	
Black	Dot	88	165	0.3	0.4423631	0.32172224	
Black	Dot	89	166	0.55	0.1727696	0.3220087	
Black	Dot	90	167	0.6	0.19449234	0.0605444	
Black	Dot	91	170	0.35	0.19476773	0.07016525	
Black	Dot	92	171	0.4	0.14681739	0.11697915	
Black	Dot	93	172	0.35	0.06020599	0.0908453	
Black	Dot	94	173	0.35	0.46616665	0.8378102	
Black	Dot	95	174	0.25	0.16447067	0.24308197	
Black	Dot	96	176	0.35	0.07388559	0.12610137	
Black	Dot	97	177	0.35	0.066098556	0.014387751	
Black	Dot	98	178	0.4	0.07172363	0.092194155	
Black	Dot	99	179	0.3	0.04102267	0.036896557	
Black	Dot	100	180	0.7	0.83785176	0.46589994	
Black	Dot	101	182	0.25	0.026036523	0.08567274	
Black	Dot	102	183	0.375	0.4203471	0.2636145	
Black	Dot	103	184	0.565	0.072984084	0.11281805	
Black	Dot	104	185	0.325	0.028028999	0.022737239	
Black	Dot	105	186	0.25	0.21585928	0.05971069	
Black	Dot	106	191	0.26	0.26820636	0.23577014	
Black	Dot	107	193	0.3	0.08089301	0.26073518	
Black	Dot	108	198	0.37	0.16444807	0.185661	
Black	Dot	109	199	0.32	0.06274695	0.013903789	
Black	Dot	110	201	0.35	0.15722497	0.20371424	
Black	Dot	111	202	0.7	0.37739238	0.8461803	
Black	Dot	112	204	0.315	0.10225665	0.102185294	
Black	Dot	113	205	0.36	0.089296065	0.075210735	
Black	Dot	114	206	0.6	0.11940002	0.3758736	
Black	Dot	115	210	0.8	0.8353001	0.56824	
Black	Dot	116	211	0.415	0.047899414	0.07202784	
Black	Dot	117	214	0.65	0.5356143	0.2126157	
Black	Dot	118	217	0.35	0.6079781	0.53088546	
Black	Dot	119	220	0.5	0.030298721	0.1886272	
Black	Dot	120	221	0.5	0.040707722	0.03017466	
Black	Dot	121	222	0.35	0.008482103	0.021569576	
Black	Dot	122	225	0.4	0.16054934	0.18336079	
Black	Dot	123	226	0.2	0.02615584	0.1015216	
Black	Dot	124	228	0.7	0.93604475	0.51890403	
Black	Dot	125	230	0.375	0.08456229	0.45115814	
Black	Dot	126	231	0.3	0.025458323	0.026103824	
Black	Dot	127	232	0.35	0.034678057	0.03717389	
Black	Dot	128	233	0.45	0.072281815	0.07696581	
Black	Dot	129	235	0.25	0.43704018	0.37145776	
Black	Dot	130	236	0.45	0.12067725	0.18220362	
Black	Dot	131	237	0.35	0.039126467	0.28024527	
Black	Dot	132	239	0.35	0.15869582	0.228488	
Black	Dot	133	240	0.35	0.0584399	0.05023277	
Black	Dot	134	241	0.6	0.22333062	0.119622685	
Black	Dot	135	242	0.575	0.6519473	0.5036338	
Black	Dot	136	244	0.3	0.05085145	0.23722711	
Black	Dot	137	246	0.5	0.18482327	0.14984518	
Black	Dot	138	247	0.55	0.14806008	0.09665813	
Black	Dot	139	250	0.41	0.069986835	0.37891832	
Black	Dot	140	251	0.45	0.4131409	0.4131409	
Black	Dot	141	252	0.4	0.10314401	0.05374307	
Black	Dot	142	253	0.55	0.11722466	0.09185018	
Black	Dot	143	254	0.35	0.22200008	0.31044236	
Black	Dot	144	256	0.65	0.9017743	0.2812337	
Black	Dot	145	258	0.6	0.903035	0.8417515	
Black	Dot	146	259	0.45	0.3029191	0.22676918	
Black	Dot	147	261	0.3	0.08602575	0.12403522	
Black	Dot	148	262	0.5	0.045060035	0.060478874	
Black	Dot	149	263	0.415	0.18823907	0.26725814	
Black	Dot	150	267	0.37	0.021696405	0.11921639	
Black	Dot	151	270	0.3	0.19491313	0.1243252	
Black	Dot	152	271	0.425	0.07541208	0.12001978	
Black	Dot	153	272	0.45	0.08948287	0.048411198	
Black	Dot	154	276	0.45	0.10143691	0.1248645	
Black	Dot	155	278	0.3	0.08678985	0.090376094	
Black	Dot	156	279	0.27	0.06407267	0.15934764	
Black	Dot	157	280	0.325	0.19504191	0.09566163	
Black	Dot	158	281	0.55	0.5030678	0.6885538	
Black	Dot	159	282	0.45	0.040503338	0.2510856	
Black	Dot	160	283	0.35	0.0903978	0.06744732	
Black	Dot	161	285	0.325	0.06431792	0.091551654	
Black	Dot	162	287	0.35	0.112627074	0.35144654	
Black	Dot	163	288	0.4	0.06983021	0.065943	
Black	Dot	164	290	0.865	0.24369715	0.2616182	
Black	Dot	165	292	0.6	0.094772846	0.24331637	
Black	Dot	166	295	0.55	0.76644164	0.8377612	
Black	Dot	167	296	0.415	0.228209	0.09851823	
Black	Dot	168	299	0.2	0.03573	0.069400325	
Black	Dot	169	300	0.5	0.20276088	0.13550289	
Black	Dot	170	304	0.325	0.12913947	0.1753159	
Black	Dot	171	306	0.4	0.071830034	0.12372314	
Black	Dot	172	309	0.45	0.19299105	0.18435368	
Black	Dot	173	311	0.45	0.07159731	0.12642147	
Black	Dot	174	312	0.25	0.09464531	0.08773874	
Black	Dot	175	313	0.4	0.14884709	0.38277024	
Black	Dot	176	314	0.65	0.34593397	0.2796386	
Black	Dot	177	316	0.375	0.28127736	0.23149192	
Black	Dot	178	317	0.3	0.23329684	0.22157627	
Black	Dot	179	320	0.36	0.06880999	0.0943095	
Black	Dot	180	321	0.75	0.11438891	0.19358428	
Black	Dot	181	323	0.3	0.22936594	0.36221752	
Black	Dot	182	326	0.3	0.19650401	0.11697232	
Black	Dot	183	327	0.675	0.7143426	0.7309962	
Black	Dot	184	328	0.45	0.061987787	0.1180953	
Black	Dot	185	329	0.3	0.03349845	0.065668635	
Black	Dot	186	330	0.3	0.102737635	0.19893026	
Black	Dot	187	332	0.265	0.08928127	0.19269769	
Black	Dot	188	334	0.25	0.05353116	0.15343755	
Black	Dot	189	335	0.55	0.16515574	0.051538162	
Black	Dot	190	340	0.35	0.07827765	0.1748343	
Black	Dot	191	341	0.415	0.06553929	0.608855	
Black	Dot	192	343	0.75	0.87302107	0.05540918	
Black	Dot	193	344	0.415	0.06690233	0.16499062	
Black	Dot	194	345	0.45	0.1679957	0.029222826	
Black	Dot	195	346	0.7	0.87185377	0.87158597	
Black	Dot	196	347	0.415	0.07474487	0.06706048	
Black	Dot	197	348	0.3	0.08730334	0.4383459	
Black	Dot	198	349	0.5	0.07301391	0.075016975	
Black	Dot	199	350	0.365	0.055922437	0.013910474	
Black	Dot	200	351	0.31	0.08142568	0.052300096	
Black	Dot	201	354	0.4	0.13445549	0.12353535	
Black	Dot	202	355	0.405	0.19340013	0.27761242	
Black	Dot	203	356	0.3	0.08055602	0.1790097	
Black	Dot	204	358	0.26	0.052372117	0.18432106	
Black	Dot	205	360	0.35	0.14049491	0.21836436	
Black	Dot	206	362	0.45	0.087303296	0.059412777	
Black	Dot	207	364	0.25	0.07166994	0.18836628	
Black	Dot	208	365	0.4	0.0330336	0.10968167	
Black	Dot	209	366	0.36	0.04241877	0.070052445	
Black	Dot	210	369	0.265	0.067873195	0.06947132	
Black	Dot	211	372	0.5	0.0609905	0.15529376	
Black	Dot	212	373	0.5	0.08959002	0.07419248	
Black	Dot	213	374	0.4	0.05883418	0.029278833	
Black	Dot	214	375	0.465	0.1439099	0.069545396	
Black	Dot	215	376	0.25	0.093774304	0.27411827	
Black	Dot	216	378	0.27	0.045140393	0.087924324	
Black	Dot	217	379	0.3	0.14802551	0.109812506	
Black	Dot	218	380	0.4	0.13797548	0.057748776	
Black	Dot	219	381	0.45	0.06782225	0.067822255	
Black	Dot	220	382	0.475	0.6519473	0.36035725	
Black	Dot	221	385	0.465	0.26133487	0.3424692	
Black	Dot	222	387	0.45	0.15695263	0.1229845	
Black	Dot	223	388	0.52	0.1601511	0.11810568	
Black	Dot	224	389	0.415	0.43062308	0.20557389	
Black	Dot	225	395	0.2	0.015804157	0.15386072	
Black	Dot	226	396	0.45	0.052317698	0.07382473	
Black	Dot	227	397	0.35	0.066534504	0.050369423	
Black	Dot	228	398	0.25	0.13648541	0.21127209	
Black	Dot	229	401	0.25	0.20688997	0.29194823	
Black	Dot	230	403	0.4	0.43784454	0.3764772	
Black	Dot	231	407	0.37	0.08573235	0.017555868	
Black	Dot	232	409	0.35	0.048692606	0.23043169	
Black	Dot	233	410	0.3	0.051144876	0.017097916	
Black	Dot	234	411	0.6	0.7524018	0.6192484	
Black	Dot	235	412	0.6	0.28312328	0.21162035	
Black	Dot	236	413	0.27	0.08332991	0.18107069	
Black	Dot	237	414	0.4	0.11716251	0.7143426	
Black	Dot	238	415	0.4	0.07256213	0.1868188	
Black	Dot	239	416	0.35	0.56821465	0.06892548	
Black	Dot	240	417	0.85	0.7886199	0.104967445	
Black	Dot	241	418	0.27	0.07068577	0.071321286	
Black	Dot	242	419	0.3	0.096510805	0.32437262	
Black	Dot	243	420	0.25	0.08605947	0.073800534	
Black	Dot	244	421	0.375	0.04477608	0.09183673	
Black	Dot	245	422	0.325	0.06989445	0.06643543	
Black	Dot	246	423	0.5	0.68910694	0.22793214	
Black	Dot	247	424	0.4	0.037972815	0.061182983	
Black	Dot	248	425	0.375	0.5473082	0.15409507	
Black	Dot	249	426	0.45	0.046592757	0.043735184	
Black	Dot	250	427	0.35	0.06928959	0.12236895	
Black	Dot	251	428	0.375	0.68869936	0.081195466	
Black	Dot	252	429	0.3	0.176765	0.12162638	
Black	Dot	253	431	0.3	0.14973019	0.12372232	
Black	Dot	254	434	0.315	0.86898154	0.21385123	
Black	Dot	255	435	0.45	0.960139	0.09537508	
Black	Dot	256	437	0.5	0.29729074	0.3019595	
Black	Dot	257	438	0.26	0.022490496	0.034351725	
Black	Dot	258	439	0.275	0.035135474	0.019543702	
Black	Dot	259	441	0.325	0.18311958	0.12619089	
Black	Dot	260	443	0.515	0.13421197	0.20885597	
Black	Dot	261	445	0.3	0.033545148	0.17278948	
Black	Dot	262	447	0.4	0.041719593	0.11210336	
Black	Dot	263	449	0.4	0.0801393	0.05136267	
Black	Dot	264	450	0.45	0.17204009	0.3158564	
Black	Dot	265	451	0.45	0.047970753	0.047596697	
Black	Dot	266	453	0.2	0.06986426	0.059526887	
Black	Dot	267	454	0.3	0.12080718	0.33361354	
Black	Dot	268	455	0.3	0.033904508	0.1098831	
Black	Dot	269	458	0.3	0.12420508	0.086869776	
Black	Dot	270	460	0.3	0.025558641	0.029255781	
Black	Dot	271	462	0.3	0.04169659	0.06380259	
Black	Dot	272	463	0.6	0.964636	0.18332975	
Black	Dot	273	465	1	0.9842272	0.38356864	
Black	Dot	274	466	0.45	0.04453018	0.021656707	
Black	Dot	275	467	0.45	0.90982157	0.43390483	
Black	Dot	276	471	0.465	0.2824359	0.15266638	
Black	Dot	277	472	0.5	0.06699019	0.09187348	
Black	Dot	278	473	1	0.96469957	0.32134137	
Black	Dot	279	474	0.525	0.56415206	0.36628366	
Black	Dot	280	475	0.35	0.043004453	0.061604425	
Black	Dot	281	476	0.4	0.13467014	0.10813108	
Black	Dot	282	478	0.3	0.055825967	0.07464211	
Black	Dot	283	480	0.4	0.10420533	0.0668263	
Black	Dot	284	481	0.45	0.08730334	0.1345974	
Black	Dot	285	483	0.425	0.24511674	0.09587826	
Black	Dot	286	484	0.75	0.9785658	0.93329823	
Black	Dot	287	486	0.45	0.33379638	0.16740091	
Black	Dot	288	489	0.275	0.36316213	0.5522218	
Black	Dot	289	491	0.4	0.069376335	0.08392877	
Black	Dot	290	492	0.25	0.017190948	0.12813872	
Black	Dot	291	493	0.2	0.17167923	0.12372232	
Black	Dot	292	494	0.45	0.17633699	0.08169299	
Black	Dot	293	495	0.35	0.2081567	0.11635213	
Black	Dot	294	496	0.3	0.14948834	0.2166218	
Black	Dot	295	497	0.25	0.035691086	0.020610962	
Black	Dot	296	499	0.275	0.3654994	0.23283006	
Black	Dot	297	500	0.325	0.066545404	0.1255782	
Black	Dot	298	501	0.45	0.1821508	0.32125974	
Black	Dot	299	502	0.4	0.08157255	0.069272555	
Black	Dot	300	503	0.27	0.07157204	0.050923683	
Black	Dot	301	504	0.4	0.11228294	0.048372906	
Black	Dot	302	505	0.4	0.3118142	0.32126305	
Black	Dot	303	506	0.55	0.36860353	0.23177885	
Black	Dot	304	507	0.775	0.933428	0.76644164	
Black	Dot	305	509	0.4	0.1649546	0.22548379	
Black	Dot	306	510	0.2	0.03448509	0.21151535	
Black	Dot	307	511	0.45	0.07075588	0.03571277	
Black	Dot	308	513	0.42	0.13421007	0.6189208	
Black	Dot	309	515	0.4	0.025458323	0.09088505	
Black	Dot	310	516	0.4	0.05670796	0.061662104	
Black	Dot	311	518	0.425	0.23207514	0.5358662	
Black	Dot	312	519	0.75	0.2197284	0.33533892	
Black	Dot	313	520	0.25	0.037690133	0.07223738	
Black	Dot	314	522	0.42	0.040584736	0.030481908	
Black	Dot	315	523	0.45	0.94735736	0.2022816	
Black	Dot	316	524	0.42	0.04147035	0.12047182	
Black	Dot	317	525	0.45	0.12703954	0.14881025	
Black	Dot	318	528	0.255	0.11620045	0.27677724	
Black	Dot	319	530	0.7	0.31390235	0.06552089	
Black	Dot	320	533	0.35	0.05044155	0.0323404	
Black	Dot	321	536	0.275	0.068874605	0.19263001	
Black	Dot	322	539	0.45	0.23069575	0.16780642	
Black	Dot	323	540	0.8	0.95518947	0.11006337	
Black	Dot	324	541	0.32	0.02933882	0.029680673	
Black	Dot	325	543	0.35	0.094969474	0.16760598	
Black	Dot	326	544	0.45	0.08353923	0.072880216	
Black	Dot	327	546	0.3	0.025236707	0.11632173	
Black	Dot	328	547	0.375	0.03548374	0.17843737	
Black	Dot	329	550	0.45	0.11691103	0.06552396	
Black	Dot	330	552	0.375	0.06646178	0.060483802	
Black	Dot	331	553	0.575	0.08958795	0.14892578	
Black	Dot	332	554	0.5	0.07488943	0.19043915	
Black	Dot	333	555	0.45	0.09211693	0.18187222	
Black	Dot	334	557	0.67	0.06966893	0.06634471	
Black	Dot	335	560	0.65	0.39757392	0.7143426	
Black	Dot	336	561	0.51	0.20546298	0.24039327	
Black	Dot	337	562	0.65	0.44361562	0.30519646	
Black	Dot	338	563	0.465	0.048021454	0.049894903	
Black	Dot	339	564	0.35	0.11004242	0.095591955	
Black	Dot	340	565	0.35	0.087199315	0.019334123	
Black	Dot	341	566	0.355	0.051875535	0.025315024	
Black	Dot	342	568	0.4	0.08730334	0.30321363	
Black	Dot	343	569	0.3	0.04673956	0.05218655	
Black	Dot	344	570	0.3	0.04885308	0.042702407	
Black	Dot	345	573	0.505	0.10361983	0.113300905	
Black	Dot	346	574	0.32	0.09360719	0.34629872	
Black	Dot	347	575	0.25	0.041536745	0.5845595	
Black	Dot	348	577	0.9	0.966828	0.1968799	
Black	Dot	349	578	0.45	0.05382743	0.06689116	
Black	Dot	350	579	0.315	0.11520709	0.18266457	
Black	Dot	351	581	0.5	0.04630182	0.195144	
Black	Dot	352	583	0.45	0.22997609	0.10584785	
Black	Dot	353	584	0.5	0.055480264	0.0663938	
Black	Dot	354	585	0.4	0.07147544	0.023805825	
Black	Dot	355	586	0.45	0.07480624	0.059939753	
Black	Dot	356	587	0.45	0.18562676	0.36585355	
Black	Dot	357	590	0.6	0.20665549	0.31343517	
Black	Dot	358	591	0.375	0.07964048	0.06801549	
Black	Dot	359	592	0.45	0.10768132	0.06565961	
Black	Dot	360	594	0.45	0.89954036	0.12042176	
Black	Dot	361	595	0.3	0.06530183	0.23373117	
Black	Dot	362	596	0.35	0.097744256	0.1922127	
Black	Dot	363	597	0.37	0.06064763	0.062093306	
Black	Dot	364	599	0.45	0.7213846	0.7143426	
Black	Dot	365	600	0.35	0.121452644	0.17226174	
Black	Dot	366	601	0.715	0.6186982	0.28896895	
Black	Dot	367	602	0.5	0.32242563	0.2319471	
Black	Dot	368	604	0.4	0.09340039	0.14755294	
Black	Dot	369	605	0.35	0.06878356	0.11662344	
Black	Dot	370	606	0.365	0.064210445	0.093212605	
Black	Dot	371	610	0.4	0.091420785	0.37431663	
Black	Dot	372	611	0.4	0.034887347	0.030344838	
Black	Dot	373	616	0.42	0.14556113	0.33044612	
Black	Dot	374	617	0.45	0.14164028	0.042420115	
Black	Dot	375	618	0.5	0.040503956	0.044726048	
Black	Dot	376	619	0.3	0.0963713	0.22632799	
Black	Dot	377	620	0.7	0.6479155	0.46589994	
Black	Dot	378	622	0.45	0.07352493	0.12265546	
Black	Dot	379	624	0.31	0.073228575	0.12803018	
Black	Dot	380	625	0.25	0.19949894	0.15375075	
Black	Dot	381	627	0.35	0.07816168	0.069899894	
Black	Dot	382	628	0.5	0.0789929	0.18040983	
Black	Dot	383	629	0.565	0.15757209	0.11199514	
Black	Dot	384	630	0.45	0.15697096	0.16978267	
Black	Dot	385	631	0.6	0.16372126	0.073870204	
Black	Dot	386	632	0.45	0.32155633	0.37377116	
Black	Dot	387	633	0.45	0.3592112	0.12357074	
Black	Dot	388	634	0.45	0.29759896	0.114734374	
Black	Dot	389	635	0.32	0.23348336	0.11623263	
Black	Dot	390	637	0.35	0.071542874	0.069941856	
Black	Dot	391	639	0.4	0.03964877	0.43257087	
Black	Dot	392	641	0.365	0.15126583	0.22782962	
Black	Dot	393	642	0.5	0.038372986	0.0676889	
Black	Dot	394	643	0.5	0.01625321	0.051384483	
Black	Dot	395	646	0.45	0.19242074	0.11189195	
Black	Dot	396	647	0.42	0.46314785	0.07241313	
Black	Dot	397	648	0.8	0.9341233	0.7563617	
Black	Dot	398	649	0.62	0.06551536	0.14855331	
Black	Dot	399	652	0.4	0.9331688	0.310108	
Black	Dot	400	653	0.5	0.1589066	0.1827614	
Black	Dot	401	654	0.75	0.2764731	0.41555548	
Black	Dot	402	656	0.365	0.02867995	0.029862035	
Black	Dot	403	657	0.35	0.068617426	0.03869182	
Black	Dot	404	658	0.35	0.23494308	0.23050521	
Black	Dot	405	660	0.425	0.055843055	0.06284431	
Black	Dot	406	661	0.47	0.43159696	0.15042274	
Black	Dot	407	662	0.4	0.2506611	0.31444788	
Black	Dot	408	664	0.35	0.066702835	0.42291674	
Black	Dot	409	665	0.35	0.07726089	0.21359004	
Black	Dot	410	669	0.365	0.06975187	0.11893126	
Black	Dot	411	671	0.45	0.037171014	0.04032261	
Black	Dot	412	673	0.37	0.3211843	0.1325259	
Black	Dot	413	675	0.25	0.034177657	0.105795905	
Black	Dot	414	676	0.45	0.07499091	0.19273832	
Black	Dot	415	677	0.45	0.39526978	0.39526978	
Black	Dot	416	678	0.4	0.086429834	0.17260098	
Black	Dot	417	679	0.6	0.56845605	0.20457383	
Black	Dot	418	680	0.45	0.052663907	0.15585516	
Black	Dot	419	682	0.37	0.05431092	0.18584846	
Black	Dot	420	683	0.45	0.102985665	0.0751138	
Black	Dot	421	684	0.3	0.0568144	0.065691255	
Black	Dot	422	685	0.35	0.1174412	0.13561748	
Black	Dot	423	686	0.265	0.029694738	0.067387596	
Black	Dot	424	687	0.265	0.07898604	0.07498002	
Black	Dot	425	688	0.4	0.036877684	0.05001805	
Black	Dot	426	692	0.4	0.063626796	0.041664116	
Black	Dot	427	693	0.4	0.041972212	0.1547144	
Black	Dot	428	694	0.5	0.117459364	0.15314549	
Black	Dot	429	695	0.35	0.11027675	0.027655406	
Black	Dot	430	697	0.375	0.04346392	0.06399479	
Black	Dot	431	701	0.32	0.9205056	0.36696866	
Black	Dot	432	702	0.85	0.949804	0.43225425	
Black	Dot	433	703	0.3	0.013718168	0.015175406	
Black	Dot	434	704	0.35	0.025386067	0.15577108	
Black	Dot	435	706	0.65	0.7670909	0.76644164	
Black	Dot	436	708	0.4	0.13110481	0.14114842	
Black	Dot	437	709	0.6	0.24461374	0.06672754	
Black	Dot	438	711	0.4	0.08103977	0.11645937	
Black	Dot	439	712	0.4	0.09087141	0.19252308	
Black	Dot	440	713	0.575	0.19599883	0.298979	
Black	Dot	441	714	0.565	0.95920646	0.60218096	
Black	Dot	442	715	0.9	0.96382236	0.050222255	
Black	Dot	443	716	0.565	0.92966884	0.22511905	
Black	Dot	444	718	0.4	0.2586448	0.15982153	
Black	Dot	445	719	0.37	0.07439149	0.06750708	
Black	Dot	446	720	0.35	0.118342094	0.10786591	
Black	Dot	447	721	0.35	0.037419956	0.079283245	
Black	Dot	448	722	0.55	0.66553557	0.11615053	
Black	Dot	449	723	0.85	0.5517294	0.4314734	
Black	Dot	450	724	0.5	0.06899701	0.05889592	
Black	Dot	451	725	0.35	0.058628786	0.07139599	
Black	Dot	452	726	0.5	0.9108359	0.4175373	
Black	Dot	453	727	0.35	0.25033918	0.38647926	
Black	Dot	454	730	0.65	0.16239995	0.08285468	
Black	Dot	455	731	0.325	0.09398985	0.06703561	
Black	Dot	456	732	0.4	0.12147872	0.18746048	
Black	Dot	457	733	0.37	0.3223819	0.12308566	
Black	Dot	458	734	0.6	0.9480649	0.938859	
Black	Dot	459	735	0.45	0.245609	0.2718214	
Black	Dot	460	737	0.4	0.108006716	0.21264116	
Black	Dot	461	740	0.355	0.11695836	0.33654323	
Black	Dot	462	741	0.5	0.8997053	0.19010873	
Black	Dot	463	742	0.62	0.039197613	0.12594031	
Black	Dot	464	743	0.375	0.064105615	0.11793383	
Black	Dot	465	744	0.4	0.023369245	0.15858005	
Black	Dot	466	745	0.35	0.041936427	0.03559933	
Black	Dot	467	746	0.6	0.073333256	0.12733032	
Black	Dot	468	747	0.4	0.029501382	0.031063423	
Black	Dot	469	748	0.35	0.16451697	0.11756292	
Black	Dot	470	749	0.4	0.09164302	0.23325178	
Black	Dot	471	750	0.325	0.048680138	0.01153963	
Black	Dot	472	751	0.35	0.1220534	0.17548616	
Black	Dot	473	752	0.35	0.02744209	0.030670859	
Black	Dot	474	754	0.4	0.012754446	0.109166674	
Black	Dot	475	756	0.45	0.06569973	0.06858074	
Black	Dot	476	757	0.45	0.27899656	0.19841611	
Black	Dot	477	759	0.4	0.7766627	0.83785176	
Black	Dot	478	762	0.35	0.0650037	0.026595417	
Black	Dot	479	764	0.45	0.08624152	0.06566252	
Black	Dot	480	765	0.45	0.090016864	0.05709372	
Black	Dot	481	766	0.37	0.064061485	0.27740747	
Black	Dot	482	767	0.25	0.073971555	0.019548161	
Black	Dot	483	768	0.25	0.123989895	0.32238683	
Black	Dot	484	769	0.35	0.043339875	0.11380399	
Black	Dot	485	770	0.465	0.027413001	0.13232891	
Black	Dot	486	771	0.4	0.06996657	0.15666766	
Black	Dot	487	772	0.65	0.11483509	0.03523933	
Black	Dot	488	775	0.4	0.086041965	0.10301592	
Black	Dot	489	776	0.4	0.07779786	0.28050792	
Black	Dot	490	778	0.35	0.10190645	0.25184435	
Black	Dot	491	779	0.45	0.38658136	0.24165125	
Black	Dot	492	782	0.7	0.12913993	0.2786251	
Black	Dot	493	783	0.45	0.11538365	0.13337462	
Black	Dot	494	784	0.365	0.24002746	0.28075585	
Black	Dot	495	785	0.67	0.8996436	0.92703164	
Black	Dot	496	786	0.45	0.06497705	0.1810122	
Black	Dot	497	787	0.45	0.079089195	0.0781595	
Black	Dot	498	788	0.37	0.069950595	0.24248265	
Black	Dot	499	789	0.5	0.04560456	0.18950625	
