:			-	-	-	-	
Black	Dot	194	194	0.465	0.03573	0.42927	
Black	Dot	195	195	0.55	0.071072794	0.478927206	
Black	Dot	196	196	0.45	0.23064703	0.21935297	
Black	Dot	197	197	0.9	0.98284787	-0.08284787	
Black	Dot	198	198	0.37	0.16444807	0.20555193	
Black	Dot	199	199	0.32	0.06274695	0.25725305	
Black	Dot	200	200	0.35	0.050180655	0.299819345	
Black	Dot	201	201	0.35	0.15722497	0.19277503	
Black	Dot	202	202	0.7	0.37739238	0.32260762	
Black	Dot	203	203	0.65	0.111127034	0.538872966	
Black	Dot	204	204	0.315	0.10225665	0.21274335	
Black	Dot	205	205	0.36	0.089296065	0.270703935	
Black	Dot	206	206	0.6	0.11940002	0.48059998	
Black	Dot	207	207	0.4	0.030736053	0.369263947	
Black	Dot	208	208	0.45	0.08730334	0.36269666	
Black	Dot	209	209	0.5	0.087303296	0.412696704	
Black	Dot	210	210	0.8	0.8353001	-0.0353001	
Black	Dot	211	211	0.415	0.047899414	0.367100586	
Black	Dot	212	212	0.45	0.22441244	0.22558756	
Black	Dot	213	213	0.55	0.087303296	0.462696704	
Black	Dot	214	214	0.65	0.5356143	0.1143857	
Black	Dot	215	215	0.95	0.93349975	0.01650025	
Black	Dot	216	216	0.415	0.023896743	0.391103257	
Black	Dot	217	217	0.35	0.6079781	-0.2579781	
Black	Dot	218	218	0.4	0.7968952	-0.3968952	
Black	Dot	219	219	0.55	0.10186177	0.44813823	
Black	Dot	220	220	0.5	0.030298721	0.469701279	
Black	Dot	221	221	0.5	0.040707722	0.459292278	
Black	Dot	222	222	0.35	0.008482103	0.341517897	
Black	Dot	223	223	0.515	0.05711732	0.45788268	
Black	Dot	224	224	0.26	0.020994965	0.239005035	
Black	Dot	225	225	0.4	0.16054934	0.23945066	
Black	Dot	226	226	0.2	0.02615584	0.17384416	
Black	Dot	227	227	0.85	0.7647259	0.0852741	
Black	Dot	228	228	0.7	0.93604475	-0.23604475	
Black	Dot	229	229	0.25	0.047009397	0.202990603	
Black	Dot	230	230	0.375	0.08456229	0.29043771	
Black	Dot	231	231	0.3	0.025458323	0.274541677	
Black	Dot	232	232	0.35	0.034678057	0.315321943	
Black	Dot	233	233	0.45	0.072281815	0.377718185	
Black	Dot	234	234	0.35	0.08707412	0.26292588	
Black	Dot	235	235	0.25	0.43704018	-0.18704018	
Black	Dot	236	236	0.45	0.12067725	0.32932275	
Black	Dot	237	237	0.35	0.039126467	0.310873533	
Black	Dot	238	238	0.37	0.039677404	0.330322596	
Black	Dot	239	239	0.35	0.15869582	0.19130418	
Black	Dot	240	240	0.35	0.0584399	0.2915601	
Black	Dot	241	241	0.6	0.22333062	0.37666938	
Black	Dot	242	242	0.575	0.6519473	-0.0769473	
Black	Dot	243	243	0.35	0.09694547	0.25305453	
Black	Dot	244	244	0.3	0.05085145	0.24914855	
Black	Dot	245	245	0.4	0.05818652	0.34181348	
Black	Dot	246	246	0.5	0.18482327	0.31517673	
Black	Dot	247	247	0.55	0.14806008	0.40193992	
Black	Dot	248	248	0.75	0.9019212	-0.1519212	
Black	Dot	249	249	0.12	0.1971154	-0.0771154	
Black	Dot	250	250	0.41	0.069986835	0.340013165	
Black	Dot	251	251	0.45	0.4131409	0.0368591	
Black	Dot	252	252	0.4	0.10314401	0.29685599	
Black	Dot	253	253	0.55	0.11722466	0.43277534	
Black	Dot	254	254	0.35	0.22200008	0.12799992	
Black	Dot	255	255	0.425	0.068454176	0.356545824	
Black	Dot	256	256	0.65	0.9017743	-0.2517743	
Black	Dot	257	257	0.5	0.4643786	0.0356214	
Black	Dot	258	258	0.6	0.903035	-0.303035	
Black	Dot	259	259	0.45	0.3029191	0.1470809	
Black	Dot	260	260	0.565	0.26525158	0.29974842	
Black	Dot	261	261	0.3	0.08602575	0.21397425	
Black	Dot	262	262	0.5	0.045060035	0.454939965	
Black	Dot	263	263	0.415	0.18823907	0.22676093	
Black	Dot	264	264	0.25	0.054364696	0.195635304	
Black	Dot	265	265	0.4	0.042208154	0.357791846	
Black	Dot	266	266	0.65	0.94618297	-0.29618297	
Black	Dot	267	267	0.37	0.021696405	0.348303595	
Black	Dot	268	268	0.55	0.087303296	0.462696704	
Black	Dot	269	269	0.3	0.04005723	0.25994277	
Black	Dot	270	270	0.3	0.19491313	0.10508687	
Black	Dot	271	271	0.425	0.07541208	0.34958792	
Black	Dot	272	272	0.45	0.08948287	0.36051713	
Black	Dot	273	273	0.3	0.15041606	0.14958394	
Black	Dot	274	274	0.375	0.23319551	0.14180449	
Black	Dot	275	275	0.6	0.948649	-0.348649	
Black	Dot	276	276	0.45	0.10143691	0.34856309	
Black	Dot	277	277	0.35	0.04515743	0.30484257	
Black	Dot	278	278	0.3	0.08678985	0.21321015	
Black	Dot	279	279	0.27	0.06407267	0.20592733	
Black	Dot	280	280	0.325	0.19504191	0.12995809	
Black	Dot	281	281	0.55	0.5030678	0.0469322	
Black	Dot	282	282	0.45	0.040503338	0.409496662	
Black	Dot	283	283	0.35	0.0903978	0.2596022	
Black	Dot	284	284	0.675	0.18139556	0.49360444	
Black	Dot	285	285	0.325	0.06431792	0.26068208	
Black	Dot	286	286	0.35	0.12384878	0.22615122	
Black	Dot	287	287	0.35	0.112627074	0.237372926	
Black	Dot	288	288	0.4	0.06983021	0.33016979	
Black	Dot	289	289	0.41	0.05066929	0.35933071	
Black	Dot	290	290	0.865	0.24369715	0.62130285	
Black	Dot	291	291	0.35	0.22496904	0.12503096	
Black	Dot	292	292	0.6	0.094772846	0.505227154	
Black	Dot	293	293	0.365	0.146007	0.218993	
Black	Dot	294	294	0.65	0.87185377	-0.22185377	
Black	Dot	295	295	0.55	0.76644164	-0.21644164	
Black	Dot	296	296	0.415	0.228209	0.186791	
Black	Dot	297	297	0.36	0.24445386	0.11554614	
Black	Dot	298	298	0.65	0.97299904	-0.32299904	
Black	Dot	299	299	0.2	0.03573	0.16427	
Black	Dot	300	300	0.5	0.20276088	0.29723912	
Black	Dot	301	301	0.225	0.16867803	0.05632197	
Black	Dot	302	302	0.175	0.038767725	0.136232275	
Black	Dot	303	303	0.3	0.10299968	0.19700032	
Black	Dot	304	304	0.325	0.12913947	0.19586053	
Black	Dot	305	305	0.675	0.57028335	0.10471665	
Black	Dot	306	306	0.4	0.071830034	0.328169966	
Black	Dot	307	307	0.25	0.068579435	0.181420565	
Black	Dot	308	308	0.35	0.22153573	0.12846427	
Black	Dot	309	309	0.45	0.19299105	0.25700895	
Black	Dot	310	310	0.415	0.05248595	0.36251405	
Black	Dot	311	311	0.45	0.07159731	0.37840269	
Black	Dot	312	312	0.25	0.09464531	0.15535469	
Black	Dot	313	313	0.4	0.14884709	0.25115291	
Black	Dot	314	314	0.65	0.34593397	0.30406603	
Black	Dot	315	315	0.3	0.022381162	0.277618838	
Black	Dot	316	316	0.375	0.28127736	0.09372264	
Black	Dot	317	317	0.3	0.23329684	0.06670316	
Black	Dot	318	318	0.3	0.03200428	0.26799572	
Black	Dot	319	319	0.41	0.28310177	0.12689823	
Black	Dot	320	320	0.36	0.06880999	0.29119001	
Black	Dot	321	321	0.75	0.11438891	0.63561109	
Black	Dot	322	322	0.6	0.20149411	0.39850589	
Black	Dot	323	323	0.3	0.22936594	0.07063406	
Black	Dot	324	324	0.4	0.4324979	-0.0324979	
Black	Dot	325	325	0.37	0.38830134	-0.01830134	
Black	Dot	326	326	0.3	0.19650401	0.10349599	
Black	Dot	327	327	0.675	0.7143426	-0.0393426	
Black	Dot	328	328	0.45	0.061987787	0.388012213	
Black	Dot	329	329	0.3	0.03349845	0.26650155	
Black	Dot	330	330	0.3	0.102737635	0.197262365	
Black	Dot	331	331	0.35	0.28253388	0.06746612	
Black	Dot	332	332	0.265	0.08928127	0.17571873	
Black	Dot	333	333	0.35	0.61935794	-0.26935794	
Black	Dot	334	334	0.25	0.05353116	0.19646884	
Black	Dot	335	335	0.55	0.16515574	0.38484426	
Black	Dot	336	336	0.37	0.327343	0.042657	
Black	Dot	337	337	0.4	0.43294218	-0.03294218	
Black	Dot	338	338	0.7	0.8547109	-0.1547109	
Black	Dot	339	339	0.35	0.027415883	0.322584117	
Black	Dot	340	340	0.35	0.07827765	0.27172235	
Black	Dot	341	341	0.415	0.06553929	0.34946071	
Black	Dot	342	342	0.55	0.08730334	0.46269666	
Black	Dot	343	343	0.75	0.87302107	-0.12302107	
Black	Dot	344	344	0.415	0.06690233	0.34809767	
Black	Dot	345	345	0.45	0.1679957	0.2820043	
Black	Dot	346	346	0.7	0.87185377	-0.17185377	
Black	Dot	347	347	0.415	0.07474487	0.34025513	
Black	Dot	348	348	0.3	0.08730334	0.21269666	
Black	Dot	349	349	0.5	0.07301391	0.42698609	
Black	Dot	350	350	0.365	0.055922437	0.309077563	
Black	Dot	351	351	0.31	0.08142568	0.22857432	
Black	Dot	352	352	0.4	0.06788862	0.33211138	
Black	Dot	353	353	0.4	0.123878494	0.276121506	
Black	Dot	354	354	0.4	0.13445549	0.26554451	
Black	Dot	355	355	0.405	0.19340013	0.21159987	
Black	Dot	356	356	0.3	0.08055602	0.21944398	
Black	Dot	357	357	0.25	0.17490704	0.07509296	
Black	Dot	358	358	0.26	0.052372117	0.207627883	
Black	Dot	359	359	0.4	0.21818458	0.18181542	
Black	Dot	360	360	0.35	0.14049491	0.20950509	
Black	Dot	361	361	0.4	0.17584035	0.22415965	
Black	Dot	362	362	0.45	0.087303296	0.362696704	
Black	Dot	363	363	0.35	0.1666598	0.1833402	
Black	Dot	364	364	0.25	0.07166994	0.17833006	
Black	Dot	365	365	0.4	0.0330336	0.3669664	
Black	Dot	366	366	0.36	0.04241877	0.31758123	
Black	Dot	367	367	0.265	0.08730334	0.17769666	
Black	Dot	368	368	0.45	0.91692644	-0.46692644	
Black	Dot	369	369	0.265	0.067873195	0.197126805	
Black	Dot	370	370	0.4	0.06475245	0.33524755	
Black	Dot	371	371	0.7	0.37093127	0.32906873	
Black	Dot	372	372	0.5	0.0609905	0.4390095	
Black	Dot	373	373	0.5	0.08959002	0.41040998	
Black	Dot	374	374	0.4	0.05883418	0.34116582	
Black	Dot	375	375	0.465	0.1439099	0.3210901	
Black	Dot	376	376	0.25	0.093774304	0.156225696	
Black	Dot	377	377	0.45	0.89932173	-0.44932173	
Black	Dot	378	378	0.27	0.045140393	0.224859607	
Black	Dot	379	379	0.3	0.14802551	0.15197449	
Black	Dot	380	380	0.4	0.13797548	0.26202452	
Black	Dot	381	381	0.45	0.06782225	0.38217775	
Black	Dot	382	382	0.475	0.6519473	-0.1769473	
Black	Dot	383	383	0.45	0.035490915	0.414509085	
Black	Dot	384	384	0.35	0.10978363	0.24021637	
Black	Dot	385	385	0.465	0.26133487	0.20366513	
Black	Dot	386	386	0.3	0.117075354	0.182924646	
Black	Dot	387	387	0.45	0.15695263	0.29304737	
Black	Dot	388	388	0.52	0.1601511	0.3598489	
Black	Dot	389	389	0.415	0.43062308	-0.01562308	
Black	Dot	390	390	0.3	0.02649347	0.27350653	
Black	Dot	391	391	0.35	0.23902994	0.11097006	
Black	Dot	392	392	0.35	0.11332218	0.23667782	
Black	Dot	393	393	0.4	0.67779493	-0.27779493	
Black	Dot	394	394	0.5	0.08730334	0.41269666	
Black	Dot	395	395	0.2	0.015804157	0.184195843	
Black	Dot	396	396	0.45	0.052317698	0.397682302	
Black	Dot	397	397	0.35	0.066534504	0.283465496	
Black	Dot	398	398	0.25	0.13648541	0.11351459	
Black	Dot	399	399	0.465	0.21984611	0.24515389	
Black	Dot	400	400	0.5	0.08730334	0.41269666	
Black	Dot	401	401	0.25	0.20688997	0.04311003	
Black	Dot	402	402	0.4	0.04973413	0.35026587	
Black	Dot	403	403	0.4	0.43784454	-0.03784454	
Black	Dot	404	404	0.45	0.19163568	0.25836432	
Black	Dot	405	405	0.37	0.25892806	0.11107194	
Black	Dot	406	406	0.45	0.08566768	0.36433232	
Black	Dot	407	407	0.37	0.08573235	0.28426765	
Black	Dot	408	408	0.3	0.55106574	-0.25106574	
Black	Dot	409	409	0.35	0.048692606	0.301307394	
Black	Dot	410	410	0.3	0.051144876	0.248855124	
Black	Dot	411	411	0.6	0.7524018	-0.1524018	
Black	Dot	412	412	0.6	0.28312328	0.31687672	
Black	Dot	413	413	0.27	0.08332991	0.18667009	
Black	Dot	414	414	0.4	0.11716251	0.28283749	
Black	Dot	415	415	0.4	0.07256213	0.32743787	
Black	Dot	416	416	0.35	0.56821465	-0.21821465	
Black	Dot	417	417	0.85	0.7886199	0.0613801	
Black	Dot	418	418	0.27	0.07068577	0.19931423	
Black	Dot	419	419	0.3	0.096510805	0.203489195	
Black	Dot	420	420	0.25	0.08605947	0.16394053	
Black	Dot	421	421	0.375	0.04477608	0.33022392	
Black	Dot	422	422	0.325	0.06989445	0.25510555	
Black	Dot	423	423	0.5	0.68910694	-0.18910694	
Black	Dot	424	424	0.4	0.037972815	0.362027185	
Black	Dot	425	425	0.375	0.5473082	-0.1723082	
Black	Dot	426	426	0.45	0.046592757	0.403407243	
Black	Dot	427	427	0.35	0.06928959	0.28071041	
Black	Dot	428	428	0.375	0.68869936	-0.31369936	
Black	Dot	429	429	0.3	0.176765	0.123235	
Black	Dot	430	430	0.4	0.14246888	0.25753112	
Black	Dot	431	431	0.3	0.14973019	0.15026981	
Black	Dot	432	432	0.35	0.15191919	0.19808081	
Black	Dot	433	433	0.3	0.09043173	0.20956827	
Black	Dot	434	434	0.315	0.86898154	-0.55398154	
Black	Dot	435	435	0.45	0.960139	-0.510139	
Black	Dot	436	436	0.4	0.06512932	0.33487068	
Black	Dot	437	437	0.5	0.29729074	0.20270926	
Black	Dot	438	438	0.26	0.022490496	0.237509504	
Black	Dot	439	439	0.275	0.035135474	0.239864526	
Black	Dot	440	440	0.45	0.07122711	0.37877289	
Black	Dot	441	441	0.325	0.18311958	0.14188042	
Black	Dot	442	442	0.25	0.17889354	0.07110646	
Black	Dot	443	443	0.515	0.13421197	0.38078803	
Black	Dot	444	444	0.45	0.0751596	0.3748404	
Black	Dot	445	445	0.3	0.033545148	0.266454852	
Black	Dot	446	446	0.4	0.30597252	0.09402748	
Black	Dot	447	447	0.4	0.041719593	0.358280407	
Black	Dot	448	448	0.305	0.037271526	0.267728474	
Black	Dot	449	449	0.4	0.0801393	0.3198607	
Black	Dot	450	450	0.45	0.17204009	0.27795991	
Black	Dot	451	451	0.45	0.047970753	0.402029247	
Black	Dot	452	452	0.35	0.087303296	0.262696704	
Black	Dot	453	453	0.2	0.06986426	0.13013574	
Black	Dot	454	454	0.3	0.12080718	0.17919282	
Black	Dot	455	455	0.3	0.033904508	0.266095492	
Black	Dot	456	456	0.45	0.07140725	0.37859275	
Black	Dot	457	457	0.365	0.11593211	0.24906789	
Black	Dot	458	458	0.3	0.12420508	0.17579492	
Black	Dot	459	459	0.32	0.05134636	0.26865364	
Black	Dot	460	460	0.3	0.025558641	0.274441359	
Black	Dot	461	461	0.35	0.12930341	0.22069659	
Black	Dot	462	462	0.3	0.04169659	0.25830341	
Black	Dot	463	463	0.6	0.964636	-0.364636	
Black	Dot	464	464	0.315	0.022668498	0.292331502	
Black	Dot	465	465	1	0.9842272	0.0157728	
Black	Dot	466	466	0.45	0.04453018	0.40546982	
Black	Dot	467	467	0.45	0.90982157	-0.45982157	
Black	Dot	468	468	0.35	0.13886155	0.21113845	
Black	Dot	469	469	0.305	0.05528779	0.24971221	
Black	Dot	470	470	0.45	0.117144175	0.332855825	
Black	Dot	471	471	0.465	0.2824359	0.1825641	
Black	Dot	472	472	0.5	0.06699019	0.43300981	
Black	Dot	473	473	1	0.96469957	0.03530043	
Black	Dot	474	474	0.525	0.56415206	-0.03915206	
Black	Dot	475	475	0.35	0.043004453	0.306995547	
Black	Dot	476	476	0.4	0.13467014	0.26532986	
Black	Dot	477	477	0.47	0.17087221	0.29912779	
Black	Dot	478	478	0.3	0.055825967	0.244174033	
Black	Dot	479	479	0.415	0.030317312	0.384682688	
Black	Dot	480	480	0.4	0.10420533	0.29579467	
Black	Dot	481	481	0.45	0.08730334	0.36269666	
Black	Dot	482	482	0.3	0.08088368	0.21911632	
Black	Dot	483	483	0.425	0.24511674	0.17988326	
Black	Dot	484	484	0.75	0.9785658	-0.2285658	
Black	Dot	485	485	0.4	0.05552373	0.34447627	
Black	Dot	486	486	0.45	0.33379638	0.11620362	
Black	Dot	487	487	0.45	0.08730334	0.36269666	
Black	Dot	488	488	0.25	0.042106695	0.207893305	
Black	Dot	489	489	0.275	0.36316213	-0.08816213	
Black	Dot	490	490	0.35	0.42362282	-0.07362282	
Black	Dot	491	491	0.4	0.069376335	0.330623665	
Black	Dot	492	492	0.25	0.017190948	0.232809052	
Black	Dot	493	493	0.2	0.17167923	0.02832077	
Black	Dot	494	494	0.45	0.17633699	0.27366301	
Black	Dot	495	495	0.35	0.2081567	0.1418433	
Black	Dot	496	496	0.3	0.14948834	0.15051166	
