Tweet Number,Annotated Results,Perspective Manual,Perspective Automated
193,0.3,0.08089301,0.26073518
198,0.37,0.16444807,0.185661
199,0.32,0.06274695,0.013903789
201,0.35,0.15722497,0.20371424
202,0.7,0.37739238,0.8461803
204,0.315,0.10225665,0.102185294
205,0.36,0.089296065,0.075210735
206,0.6,0.11940002,0.3758736
210,0.8,0.8353001,0.56824
211,0.415,0.047899414,0.07202784
214,0.65,0.5356143,0.2126157
217,0.35,0.6079781,0.53088546
220,0.5,0.030298721,0.1886272
221,0.5,0.040707722,0.03017466
222,0.35,0.008482103,0.021569576
225,0.4,0.16054934,0.18336079
226,0.2,0.02615584,0.1015216
228,0.7,0.93604475,0.51890403
230,0.375,0.08456229,0.45115814
231,0.3,0.025458323,0.026103824
232,0.35,0.034678057,0.03717389
233,0.45,0.072281815,0.07696581
235,0.25,0.43704018,0.37145776
236,0.45,0.12067725,0.18220362
237,0.35,0.039126467,0.28024527
239,0.35,0.15869582,0.228488
240,0.35,0.0584399,0.05023277
241,0.6,0.22333062,0.119622685
242,0.575,0.6519473,0.5036338
244,0.3,0.05085145,0.23722711
246,0.5,0.18482327,0.14984518
247,0.55,0.14806008,0.09665813
250,0.41,0.069986835,0.37891832
251,0.45,0.4131409,0.4131409
252,0.4,0.10314401,0.05374307
253,0.55,0.11722466,0.09185018
254,0.35,0.22200008,0.31044236
256,0.65,0.9017743,0.2812337
258,0.6,0.903035,0.8417515
259,0.45,0.3029191,0.22676918
261,0.3,0.08602575,0.12403522
262,0.5,0.045060035,0.060478874
263,0.415,0.18823907,0.26725814
267,0.37,0.021696405,0.11921639
270,0.3,0.19491313,0.1243252
271,0.425,0.07541208,0.12001978
272,0.45,0.08948287,0.048411198
276,0.45,0.10143691,0.1248645
278,0.3,0.08678985,0.090376094
279,0.27,0.06407267,0.15934764
280,0.325,0.19504191,0.09566163
281,0.55,0.5030678,0.6885538
282,0.45,0.040503338,0.2510856
283,0.35,0.0903978,0.06744732
285,0.325,0.06431792,0.091551654
287,0.35,0.112627074,0.35144654
288,0.4,0.06983021,0.065943
290,0.865,0.24369715,0.2616182
292,0.6,0.094772846,0.24331637
295,0.55,0.76644164,0.8377612
296,0.415,0.228209,0.09851823
299,0.2,0.03573,0.069400325
300,0.5,0.20276088,0.13550289
304,0.325,0.12913947,0.1753159
306,0.4,0.071830034,0.12372314
309,0.45,0.19299105,0.18435368
311,0.45,0.07159731,0.12642147
312,0.25,0.09464531,0.08773874
313,0.4,0.14884709,0.38277024
314,0.65,0.34593397,0.2796386
316,0.375,0.28127736,0.23149192
317,0.3,0.23329684,0.22157627
320,0.36,0.06880999,0.0943095
321,0.75,0.11438891,0.19358428
323,0.3,0.22936594,0.36221752
326,0.3,0.19650401,0.11697232
327,0.675,0.7143426,0.7309962
328,0.45,0.061987787,0.1180953
329,0.3,0.03349845,0.065668635
330,0.3,0.102737635,0.19893026
332,0.265,0.08928127,0.19269769
334,0.25,0.05353116,0.15343755
335,0.55,0.16515574,0.051538162
340,0.35,0.07827765,0.1748343
341,0.415,0.06553929,0.608855
343,0.75,0.87302107,0.05540918
344,0.415,0.06690233,0.16499062
345,0.45,0.1679957,0.029222826
346,0.7,0.87185377,0.87158597
347,0.415,0.07474487,0.06706048
348,0.3,0.08730334,0.4383459
349,0.5,0.07301391,0.075016975
350,0.365,0.055922437,0.013910474
351,0.31,0.08142568,0.052300096
354,0.4,0.13445549,0.12353535
355,0.405,0.19340013,0.27761242
356,0.3,0.08055602,0.1790097
358,0.26,0.052372117,0.18432106
360,0.35,0.14049491,0.21836436
362,0.45,0.087303296,0.059412777
364,0.25,0.07166994,0.18836628
365,0.4,0.0330336,0.10968167
366,0.36,0.04241877,0.070052445
369,0.265,0.067873195,0.06947132
372,0.5,0.0609905,0.15529376
373,0.5,0.08959002,0.07419248
374,0.4,0.05883418,0.029278833
375,0.465,0.1439099,0.069545396
376,0.25,0.093774304,0.27411827
378,0.27,0.045140393,0.087924324
379,0.3,0.14802551,0.109812506
380,0.4,0.13797548,0.057748776
381,0.45,0.06782225,0.067822255
382,0.475,0.6519473,0.36035725
385,0.465,0.26133487,0.3424692
387,0.45,0.15695263,0.1229845
388,0.52,0.1601511,0.11810568
389,0.415,0.43062308,0.20557389
395,0.2,0.015804157,0.15386072
396,0.45,0.052317698,0.07382473
397,0.35,0.066534504,0.050369423
398,0.25,0.13648541,0.21127209
401,0.25,0.20688997,0.29194823
403,0.4,0.43784454,0.3764772
407,0.37,0.08573235,0.017555868
409,0.35,0.048692606,0.23043169
410,0.3,0.051144876,0.017097916
411,0.6,0.7524018,0.6192484
412,0.6,0.28312328,0.21162035
413,0.27,0.08332991,0.18107069
414,0.4,0.11716251,0.7143426
415,0.4,0.07256213,0.1868188
416,0.35,0.56821465,0.06892548
417,0.85,0.7886199,0.104967445
418,0.27,0.07068577,0.071321286
419,0.3,0.096510805,0.32437262
420,0.25,0.08605947,0.073800534
421,0.375,0.04477608,0.09183673
422,0.325,0.06989445,0.06643543
423,0.5,0.68910694,0.22793214
424,0.4,0.037972815,0.061182983
425,0.375,0.5473082,0.15409507
426,0.45,0.046592757,0.043735184
427,0.35,0.06928959,0.12236895
428,0.375,0.68869936,0.081195466
429,0.3,0.176765,0.12162638
431,0.3,0.14973019,0.12372232
434,0.315,0.86898154,0.21385123
435,0.45,0.960139,0.09537508
437,0.5,0.29729074,0.3019595
438,0.26,0.022490496,0.034351725
439,0.275,0.035135474,0.019543702
441,0.325,0.18311958,0.12619089
443,0.515,0.13421197,0.20885597
445,0.3,0.033545148,0.17278948
447,0.4,0.041719593,0.11210336
449,0.4,0.0801393,0.05136267
450,0.45,0.17204009,0.3158564
451,0.45,0.047970753,0.047596697
453,0.2,0.06986426,0.059526887
454,0.3,0.12080718,0.33361354
455,0.3,0.033904508,0.1098831
458,0.3,0.12420508,0.086869776
460,0.3,0.025558641,0.029255781
462,0.3,0.04169659,0.06380259
463,0.6,0.964636,0.18332975
465,1,0.9842272,0.38356864
466,0.45,0.04453018,0.021656707
467,0.45,0.90982157,0.43390483
471,0.465,0.2824359,0.15266638
472,0.5,0.06699019,0.09187348
473,1,0.96469957,0.32134137
474,0.525,0.56415206,0.36628366
475,0.35,0.043004453,0.061604425
476,0.4,0.13467014,0.10813108
478,0.3,0.055825967,0.07464211
480,0.4,0.10420533,0.0668263
481,0.45,0.08730334,0.1345974
483,0.425,0.24511674,0.09587826
484,0.75,0.9785658,0.93329823
486,0.45,0.33379638,0.16740091
489,0.275,0.36316213,0.5522218
491,0.4,0.069376335,0.08392877
492,0.25,0.017190948,0.12813872
493,0.2,0.17167923,0.12372232
494,0.45,0.17633699,0.08169299
495,0.35,0.2081567,0.11635213
496,0.3,0.14948834,0.2166218
497,0.25,0.035691086,0.020610962
499,0.275,0.3654994,0.23283006
500,0.325,0.066545404,0.1255782
501,0.45,0.1821508,0.32125974
502,0.4,0.08157255,0.069272555
503,0.27,0.07157204,0.050923683
504,0.4,0.11228294,0.048372906
505,0.4,0.3118142,0.32126305
506,0.55,0.36860353,0.23177885
507,0.775,0.933428,0.76644164
509,0.4,0.1649546,0.22548379
510,0.2,0.03448509,0.21151535
511,0.45,0.07075588,0.03571277
513,0.42,0.13421007,0.6189208
515,0.4,0.025458323,0.09088505
516,0.4,0.05670796,0.061662104
518,0.425,0.23207514,0.5358662
519,0.75,0.2197284,0.33533892
520,0.25,0.037690133,0.07223738
522,0.42,0.040584736,0.030481908
523,0.45,0.94735736,0.2022816
524,0.42,0.04147035,0.12047182
525,0.45,0.12703954,0.14881025
528,0.255,0.11620045,0.27677724
530,0.7,0.31390235,0.06552089
533,0.35,0.05044155,0.0323404
536,0.275,0.068874605,0.19263001
539,0.45,0.23069575,0.16780642
540,0.8,0.95518947,0.11006337
541,0.32,0.02933882,0.029680673
543,0.35,0.094969474,0.16760598
544,0.45,0.08353923,0.072880216
546,0.3,0.025236707,0.11632173
547,0.375,0.03548374,0.17843737
550,0.45,0.11691103,0.06552396
552,0.375,0.06646178,0.060483802
553,0.575,0.08958795,0.14892578
554,0.5,0.07488943,0.19043915
555,0.45,0.09211693,0.18187222
557,0.67,0.06966893,0.06634471
560,0.65,0.39757392,0.7143426
561,0.51,0.20546298,0.24039327
562,0.65,0.44361562,0.30519646
563,0.465,0.048021454,0.049894903
564,0.35,0.11004242,0.095591955
565,0.35,0.087199315,0.019334123
566,0.355,0.051875535,0.025315024
568,0.4,0.08730334,0.30321363
569,0.3,0.04673956,0.05218655
570,0.3,0.04885308,0.042702407
573,0.505,0.10361983,0.113300905
574,0.32,0.09360719,0.34629872
575,0.25,0.041536745,0.5845595
577,0.9,0.966828,0.1968799
578,0.45,0.05382743,0.06689116
579,0.315,0.11520709,0.18266457
581,0.5,0.04630182,0.195144
583,0.45,0.22997609,0.10584785
584,0.5,0.055480264,0.0663938
585,0.4,0.07147544,0.023805825
586,0.45,0.07480624,0.059939753
587,0.45,0.18562676,0.36585355
590,0.6,0.20665549,0.31343517
591,0.375,0.07964048,0.06801549
592,0.45,0.10768132,0.06565961
594,0.45,0.89954036,0.12042176
595,0.3,0.06530183,0.23373117
596,0.35,0.097744256,0.1922127
597,0.37,0.06064763,0.062093306
599,0.45,0.7213846,0.7143426
600,0.35,0.121452644,0.17226174
601,0.715,0.6186982,0.28896895
602,0.5,0.32242563,0.2319471
604,0.4,0.09340039,0.14755294
605,0.35,0.06878356,0.11662344
606,0.365,0.064210445,0.093212605
610,0.4,0.091420785,0.37431663
611,0.4,0.034887347,0.030344838
616,0.42,0.14556113,0.33044612
617,0.45,0.14164028,0.042420115
618,0.5,0.040503956,0.044726048
619,0.3,0.0963713,0.22632799
620,0.7,0.6479155,0.46589994
622,0.45,0.07352493,0.12265546
624,0.31,0.073228575,0.12803018
625,0.25,0.19949894,0.15375075
627,0.35,0.07816168,0.069899894
628,0.5,0.0789929,0.18040983
629,0.565,0.15757209,0.11199514
630,0.45,0.15697096,0.16978267
631,0.6,0.16372126,0.073870204
632,0.45,0.32155633,0.37377116
633,0.45,0.3592112,0.12357074
634,0.45,0.29759896,0.114734374
635,0.32,0.23348336,0.11623263
637,0.35,0.071542874,0.069941856
639,0.4,0.03964877,0.43257087
641,0.365,0.15126583,0.22782962
642,0.5,0.038372986,0.0676889
643,0.5,0.01625321,0.051384483
646,0.45,0.19242074,0.11189195
647,0.42,0.46314785,0.07241313
648,0.8,0.9341233,0.7563617
649,0.62,0.06551536,0.14855331
652,0.4,0.9331688,0.310108
653,0.5,0.1589066,0.1827614
654,0.75,0.2764731,0.41555548
656,0.365,0.02867995,0.029862035
657,0.35,0.068617426,0.03869182
658,0.35,0.23494308,0.23050521
660,0.425,0.055843055,0.06284431
661,0.47,0.43159696,0.15042274
662,0.4,0.2506611,0.31444788
664,0.35,0.066702835,0.42291674
665,0.35,0.07726089,0.21359004
669,0.365,0.06975187,0.11893126
671,0.45,0.037171014,0.04032261
673,0.37,0.3211843,0.1325259
675,0.25,0.034177657,0.105795905
676,0.45,0.07499091,0.19273832
677,0.45,0.39526978,0.39526978
678,0.4,0.086429834,0.17260098
679,0.6,0.56845605,0.20457383
680,0.45,0.052663907,0.15585516
682,0.37,0.05431092,0.18584846
683,0.45,0.102985665,0.0751138
684,0.3,0.0568144,0.065691255
685,0.35,0.1174412,0.13561748
686,0.265,0.029694738,0.067387596
687,0.265,0.07898604,0.07498002
688,0.4,0.036877684,0.05001805
692,0.4,0.063626796,0.041664116
693,0.4,0.041972212,0.1547144
694,0.5,0.117459364,0.15314549
695,0.35,0.11027675,0.027655406
697,0.375,0.04346392,0.06399479
701,0.32,0.9205056,0.36696866
702,0.85,0.949804,0.43225425
703,0.3,0.013718168,0.015175406
704,0.35,0.025386067,0.15577108
706,0.65,0.7670909,0.76644164
708,0.4,0.13110481,0.14114842
709,0.6,0.24461374,0.06672754
711,0.4,0.08103977,0.11645937
712,0.4,0.09087141,0.19252308
713,0.575,0.19599883,0.298979
714,0.565,0.95920646,0.60218096
715,0.9,0.96382236,0.050222255
716,0.565,0.92966884,0.22511905
718,0.4,0.2586448,0.15982153
719,0.37,0.07439149,0.06750708
720,0.35,0.118342094,0.10786591
721,0.35,0.037419956,0.079283245
722,0.55,0.66553557,0.11615053
723,0.85,0.5517294,0.4314734
724,0.5,0.06899701,0.05889592
725,0.35,0.058628786,0.07139599
726,0.5,0.9108359,0.4175373
727,0.35,0.25033918,0.38647926
730,0.65,0.16239995,0.08285468
731,0.325,0.09398985,0.06703561
732,0.4,0.12147872,0.18746048
733,0.37,0.3223819,0.12308566
734,0.6,0.9480649,0.938859
735,0.45,0.245609,0.2718214
737,0.4,0.108006716,0.21264116
740,0.355,0.11695836,0.33654323
741,0.5,0.8997053,0.19010873
742,0.62,0.039197613,0.12594031
743,0.375,0.064105615,0.11793383
744,0.4,0.023369245,0.15858005
745,0.35,0.041936427,0.03559933
746,0.6,0.073333256,0.12733032
747,0.4,0.029501382,0.031063423
748,0.35,0.16451697,0.11756292
749,0.4,0.09164302,0.23325178
750,0.325,0.048680138,0.01153963
751,0.35,0.1220534,0.17548616
752,0.35,0.02744209,0.030670859
754,0.4,0.012754446,0.109166674
756,0.45,0.06569973,0.06858074
757,0.45,0.27899656,0.19841611
759,0.4,0.7766627,0.83785176
762,0.35,0.0650037,0.026595417
764,0.45,0.08624152,0.06566252
765,0.45,0.090016864,0.05709372
766,0.37,0.064061485,0.27740747
767,0.25,0.073971555,0.019548161
768,0.25,0.123989895,0.32238683
769,0.35,0.043339875,0.11380399
770,0.465,0.027413001,0.13232891
771,0.4,0.06996657,0.15666766
772,0.65,0.11483509,0.03523933
775,0.4,0.086041965,0.10301592
776,0.4,0.07779786,0.28050792
778,0.35,0.10190645,0.25184435
779,0.45,0.38658136,0.24165125
782,0.7,0.12913993,0.2786251
783,0.45,0.11538365,0.13337462
784,0.365,0.24002746,0.28075585
785,0.67,0.8996436,0.92703164
786,0.45,0.06497705,0.1810122
787,0.45,0.079089195,0.0781595
788,0.37,0.069950595,0.24248265
789,0.5,0.04560456,0.18950625
790,0.45,0.17586815,0.19304611
791,0.25,0.03898905,0.008228832
793,0.45,0.04075145,0.0909775
795,0.45,0.11606589,0.2791392
796,0.4,0.09277901,0.07854548
798,0.35,0.0705622,0.0477652
800,0.4,0.45535585,0.28618294
801,0.47,0.06761699,0.06614061
802,0.4,0.0726438,0.07468467
803,0.35,0.22581072,0.22491342
805,0.7,0.83258295,0.25115523
806,0.25,0.04613672,0.040364318
809,0.35,0.025856331,0.12768173
810,0.4,0.064002044,0.06492922
812,0.415,0.92703164,0.04202797
813,0.36,0.062833644,0.06591881
814,0.4,0.049122144,0.106509976
815,0.4,0.040255718,0.07715447
816,0.35,0.038600277,0.0608173
817,0.4,0.09722956,0.2216204
818,0.3,0.2518552,0.27328178
819,0.4,0.2961862,0.11534535
821,0.21,0.18914439,0.17014053
825,0.265,0.074442886,0.0656699
827,0.365,0.121680826,0.05046137
828,0.27,0.35745737,0.20591022
829,0.26,0.38982198,0.20418462
831,0.35,0.06918076,0.104771554
832,0.3,0.062446833,0.23480946
833,0.415,0.0793979,0.62725043
834,0.315,0.025382066,0.08601968
836,0.45,0.60890996,0.2026271
837,0.455,0.07404061,0.08992558
839,0.36,0.14230649,0.0133372275
841,0.36,0.17251176,0.030718368
842,0.75,0.8994981,0.11531804
843,0.41,0.18481971,0.11039508
844,0.35,0.20608552,0.0914192
845,0.455,0.08730334,0.059412777
847,0.32,0.14999183,0.23613429
848,0.3,0.19721577,0.37325642
851,0.305,0.20223658,0.070955865
852,0.25,0.068070635,0.063525744
853,0.25,0.06861166,0.15210427
854,0.25,0.36099908,0.16392425
855,0.41,0.116677284,0.17705967
857,0.35,0.31706807,0.10784419
858,0.26,0.06921377,0.20290467
860,0.31,0.37202,0.12336772
861,0.35,0.08451205,0.10240065
862,0.35,0.22260036,0.06475693
863,0.45,0.069731526,0.101192094
865,0.315,0.07744792,0.03955111
866,0.305,0.078364134,0.11899368
867,0.355,0.029583376,0.0655671
868,0.3,0.08539795,0.07600777
869,0.2,0.3213882,0.38110977
872,0.3,0.254316,0.1493156
873,0.26,0.021705968,0.050344754
874,0.3,0.10745901,0.12121459
875,0.3,0.10250786,0.07458468
877,0.35,0.29257223,0.1968519
878,0.3,0.22558448,0.1461506
884,0.3,0.07737068,0.27142188
885,0.55,0.8349013,0.608347
886,0.3,0.22547981,0.075979166
888,0.3,0.025472594,0.24043782
889,0.35,0.03180567,0.15506041
890,0.26,0.09265582,0.115844704
892,0.25,0.0650057,0.07668473
895,0.3,0.5772337,0.07959131
896,0.26,0.12153114,0.016180472
897,0.3,0.20562,0.17343998
898,0.6,0.9664999,0.22192377
899,0.25,0.106669076,0.06607732
901,0.31,0.123330794,0.035753343
902,0.25,0.40638897,0.37067372
904,0.21,0.44511634,0.1188579
906,0.25,0.32722253,0.18852635
908,0.25,0.15170932,0.015540623
909,0.3,0.3157809,0.040786527
910,0.31,0.08875417,0.065061964
911,0.3,0.3265741,0.32175103
913,0.155,0.1184026,0.14947546
914,0.3,0.11393703,0.055731095
917,0.36,0.14411812,0.22469717
920,0.25,0.08637084,0.26673022
922,0.2,0.069823936,0.20239778
924,0.35,0.061823018,0.16704595
925,0.305,0.8866354,0.51542956
926,0.3,0.07073789,0.07073789
928,0.2,0.06580673,0.073579304
930,0.31,0.066263884,0.064774364
931,0.31,0.06478506,0.061314918
933,0.3,0.0626837,0.11328891
938,0.305,0.15887666,0.15342315
939,0.35,0.23809671,0.28305164
941,0.205,0.12081594,0.18201359
942,0.32,0.15324825,0.2810774
943,0.32,0.10503507,0.13207431
945,0.35,0.26851568,0.44289908
946,0.36,0.114122085,0.083276846
947,0.25,0.23960078,0.32177782
954,0.4,0.034887347,0.12521552
955,0.355,0.19990453,0.643809
957,0.255,0.019854598,0.019000927
958,0.3,0.2233196,0.059793282
959,0.2,0.046469957,0.44033653
961,0.15,0.073971555,0.046519544
964,0.255,0.033728782,0.22649297
966,0.35,0.03821672,0.034751598
968,0.26,0.4673754,0.19595516
969,0.35,0.16792585,0.11937006
970,0.2,0.03177577,0.050952926
971,0.3,0.15175164,0.05025828
972,0.4,0.090432286,0.2934421
974,0.3,0.27915174,0.4123098
976,0.3,0.034887347,0.045452327
979,0.3,0.31405792,0.104198374
980,0.15,0.19252308,0.19225086
981,0.31,0.070135675,0.07887095
982,0.15,0.21694577,0.08183263
983,0.3,0.13608123,0.32120305
984,0.35,0.07272351,0.045762353
991,0.365,0.20040594,0.10146069
994,0.5,0.11851107,0.08018202
995,0.355,0.45011175,0.28291136
997,0.4,0.08730334,0.15191594
999,0.35,0.17805961,0.10227073
1000,0.2,0.08134405,0.22143798
1001,0.35,0.0660771,0.2840016
1002,0.365,0.40006554,0.7170248
1003,0.4,0.08730334,0.059412777
1004,0.21,0.06529706,0.048448067
1006,0.42,0.07087813,0.06397622
1007,0.3,0.24205373,0.2794147
1008,0.2,0.08730334,0.032355864
1009,0.25,0.13866629,0.1672996
1011,0.35,0.31005797,0.4137524
1012,0.35,0.086592704,0.10846918
1013,0.2,0.06721617,0.12324622
1015,0.265,0.2778771,0.23109087
1016,0.3,0.024115423,0.07990403
1017,0.25,0.059962243,0.56599736
1018,0.615,0.77151203,0.871444
1019,0.25,0.50223607,0.5604571
1020,0.2,0.03695752,0.092885666
1024,0.205,0.28725293,0.23771052
1025,0.255,0.03324107,0.20606428
1026,0.315,0.23073149,0.14771014
1027,0.25,0.14036629,0.13959642
1029,0.15,0.040954564,0.014540999
1030,0.32,0.046171237,0.09016576
1031,0.3,0.1787758,0.35318375
1033,0.305,0.09487452,0.115043715
1034,0.4,0.08730334,0.15375075
1036,0.25,0.17874113,0.0636104
1037,0.5,0.56780624,0.07472349
1039,0.3,0.4421993,0.27593178
1040,0.455,0.17496154,0.27847865
1042,0.35,0.08730334,0.08730334
1043,0.465,0.92703164,0.12119527
1044,0.3,0.09739823,0.13751364
1045,0.25,0.06725931,0.085387744
1046,0.55,0.76644164,0.6368157
1048,0.3,0.051384483,0.043974992
1049,0.35,0.047189947,0.0923524
1050,0.305,0.13489929,0.6555494
1051,0.2,0.121062756,0.22757664
1052,0.35,0.07190872,0.107716516
1054,0.4,0.46589994,0.20505439
1055,0.35,0.06837004,0.16250612
1057,0.205,0.061069846,0.09589682
1058,0.3,0.028906817,0.07390979
1061,0.4,0.18932475,0.32794246
1062,0.31,0.44678634,0.43791977
1063,0.3,0.11633894,0.37679863
1065,0.85,0.9821534,0.24925931
1066,0.35,0.2782832,0.30109408
1068,0.25,0.24263829,0.117293134
1069,0.305,0.22000675,0.11670315
1070,0.25,0.13314173,0.40416595
1071,0.2,0.121750645,0.1789032
1072,0.255,0.08568107,0.18130463
1073,0.15,0.09372902,0.33716527
1077,0.31,0.08891702,0.028324414
1078,0.65,0.36183602,0.5070589
1079,0.4,0.18664283,0.10968108
1081,0.55,0.09893915,0.101208724
1083,0.25,0.10930103,0.12581985
1085,0.16,0.03439505,0.1196066
1086,0.2,0.1706731,0.22501689
1087,0.3,0.051757645,0.092975214
1088,0.1,0.12214213,0.22158627
1089,0.155,0.8363033,0.19613682
1092,0.15,0.0644682,0.12393902
1093,0.255,0.08475598,0.07450293
1094,0.15,0.03270475,0.037108976
1098,0.3,0.070646435,0.077846915
1099,0.205,0.112945646,0.119312085
1100,0.45,0.035600584,0.09932611
1101,0.25,0.17544588,0.37071368
1103,0.35,0.046271544,0.09336185
1104,0.355,0.03743726,0.17071731
1105,0.35,0.026831653,0.015803143
1106,0.355,0.34737143,0.14063522
1107,0.4,0.051591527,0.048377197
1109,0.35,0.06522087,0.07068752
1111,0.305,0.11947318,0.1982669
1113,0.55,0.11609255,0.13496844
1114,0.25,0.11609174,0.11113889
1116,0.215,0.04179154,0.16127174
1117,0.2,0.06697572,0.065605976
1118,0.3,0.17553021,0.07542864
1120,0.2,0.27103427,0.39080042
1122,0.4,0.055778187,0.053686276
1123,0.35,0.080426924,0.16998307
1124,0.25,0.16342318,0.07008711
1125,0.255,0.3129791,0.30993125
1127,0.35,0.06301795,0.20446798
1129,0.31,0.17719872,0.06891611
1130,0.3,0.07698841,0.16380106
1132,0.2,0.1081294,0.28446436
1133,0.26,0.2543287,0.23059465
1134,0.35,0.09700079,0.24756493
1135,0.3,0.1293121,0.124714136
1136,0.56,0.032218114,0.05082532
1138,0.4,0.010425808,0.029991712
1140,0.35,0.25734293,0.11925662
1141,0.36,0.83785176,0.12784742
1142,0.35,0.22400996,0.31164005
1143,0.25,0.019164218,0.07011462
1144,0.3,0.11521269,0.1345046
1145,0.455,0.09357492,0.13167123
1146,0.3,0.020312224,0.01739439
1147,0.6,0.7388681,0.8028341
1149,0.55,0.14469554,0.07466908
1150,0.55,0.5245033,0.9051832
1151,0.455,0.102467775,0.123539664
1152,0.45,0.08051354,0.14050083
1153,0.255,0.08789552,0.06932573
1154,0.35,0.06828938,0.06424134
1155,0.255,0.024771463,0.038013056
1156,0.4,0.087303296,0.17226174
1158,0.77,0.816901,0.24688174
1161,0.25,0.093386315,0.16636808
1162,0.405,0.09095287,0.28962475
1163,0.55,0.7051951,0.3882637
1164,0.35,0.09407473,0.1822059
1165,0.4,0.041620843,0.113739744
1166,0.46,0.6094617,0.23747952
1167,0.155,0.07839617,0.048720326
1168,0.45,0.0639335,0.31325144
1170,0.7,0.3513939,0.37854642
1171,0.615,0.83785176,0.3214232
1172,0.2,0.22644155,0.29258838
1175,0.35,0.07626513,0.029203862
1176,0.305,0.0522442,0.037479248
1177,0.55,0.10012474,0.22926712
1179,0.305,0.22519238,0.10648352
1180,0.25,0.03542522,0.074746534
1181,0.31,0.06429475,0.18655346
1183,0.32,0.05448222,0.19998085
1184,0.3,0.27724835,0.27204555
1185,0.6,0.8513281,0.761402
1186,0.3,0.050996434,0.0949502
1187,0.405,0.4191765,0.22426492
1190,0.205,0.06936763,0.06826264
1191,0.205,0.07238015,0.16157904
